ORIGGPCD,ORIGGPFR,ORIGFDCD,ORIGFDNM,"Energie, R�glement UE N� 1169/2011 (kJ/100g)","Energie, R�glement UE N� 1169/2011 (kcal/100g)","Energie, N x facteur Jones, avec fibres  (kJ/100g)","Energie, N x facteur Jones, avec fibres  (kcal/100g)",Eau (g/100g),Prot�ines (g/100g),"Prot�ines brutes, N x 6.25 (g/100g)",Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG satur�s (g/100g),AG monoinsatur�s (g/100g),AG polyinsatur�s (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, capro�que (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, st�arique (g/100g)","AG 18:1 9c (n-9), ol�ique (g/100g)","AG 18:2 9c,12c (n-6), linol�ique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linol�nique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholest�rol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (�g/100g),Magn�sium (mg/100g),Mangan�se (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),S�l�nium (�g/100g),Sodium (mg/100g),Zinc (mg/100g),R�tinol (�g/100g),Beta-Carot�ne (�g/100g),Vitamine D (�g/100g),Vitamine E (mg/100g),Vitamine K1 (�g/100g),Vitamine K2 (�g/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantoth�nique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (�g/100g),Vitamine B12 (�g/100g)
13.2,Produits � base de poissons appertis�s,26242,"Miettes de thon � la tomate, appertis�es",545,130,545,130,-,14.6,14.6,4.33,5.93,3.33,-,0.58,0,1.68,0,0,0.83,1.26,2.49,-,-,-,-,-,-,-,-,-,2.39,0.01,-,-,-,-,1.22,-,-,-,-,-,-,-,-,-,-,489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13.2,Produits � base de poissons appertis�s,26243,"Thon, � la catalane ou � l'escab�che (sauce tomate), appertis�",594,142,594,142,-,10.8,10.8,5.05,8.6,2.93,-,< 1.5,0,1.62,0,0,0.67,5,2.5,< 0.01,< 0.01,< 0.01,< 0.01,0.018,0.015,0.43,0.14,4.48,1.68,0.72,-,-,0.05,-,1,-,-,-,-,-,-,-,-,-,-,402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13.2,Produits � base de poissons appertis�s,26245,"Miettes de thon � l'huile, appertis�es",888,213,888,213,-,24.3,24.3,< 0.1,12.5,< 0.25,-,< 3,0,1.19,0,0,1.49,3.13,7.28,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,0.03,0.8,0.46,2.94,6.91,0.05,-,-,0.21,-,0.65,-,423,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13.3,Poissons et batraciens cuits,26003,"Carrelet ou plie, cuit � la vapeur",393,93,393,93,78,19,19,traces,1.89,0,-,0,0,-,0,0,0.22,0.44,0.66,-,-,-,-,-,-,-,-,-,-,-,-,0.072,0.38,-,-,-,-,0.05,-,30,-,0.04,-,-,30.4,-,0.68,-,0,-,-,-,-,-,-,-,-,-,-,-,-
13.3,Poissons et batraciens cuits,26008,"�glefin, cuit � la vapeur",377,88.9,377,88.9,78.3,20.9,20.9,traces,0.6,0,0,0,0,0.8,0,0,0.11,0.1,0.21,-,-,-,-,-,-,-,-,-,-,-,-,0.049,0.092,38,0.18,26,-,0.02,0.1,260,24,0.01,200,370,34.3,73,0.5,traces,-,traces,0.41,-,-,traces,0.04,0.11,4.1,0.25,0.41,9,2
13.3,Poissons et batraciens cuits,26012,"Hareng, frit",840,201,840,201,-,23,23,traces,12.1,0,0,0,0,-,0,0,3.51,5.83,2.25,-,-,-,-,-,-,-,-,-,-,-,-,1.05,1.2,57,-,-,-,0.14,-,38,-,0.02,-,-,31.3,-,0.75,-,0,-,-,-,-,-,-,-,-,-,-,-,-
13.3,Poissons et batraciens cuits,26014,"Hareng, grill�/po�l�",820,196,820,196,64.3,23,23,traces,11.6,0,-,0,0,1.87,0,0,2.32,5.52,2.27,0,0,0,0,0.013,0.63,1.55,0.12,-,-,-,-,1.05,1.23,77,0.29,74,220,0.12,1.41,52.5,41,0.04,303,419,46,115,1.27,36,0,5.4,1.37,0.1,-,0.7,0.11,0.3,4.12,0.74,0.35,12,13.1
13.3,Poissons et batraciens cuits,26015,"Lieu noir, cuit",423,99.7,423,99.7,75.2,23.1,23.1,traces,0.81,0,< 1,0,0,1.01,0,0,0.24,0.087,0.47,< 0.001,< 0.002,< 0.001,< 0.001,< 0.001,0.015,0.17,0.033,0.069,< 0.009,< 0.002,0.0096,0.074,0.3,105,0.27,23.9,0.2,0.064,0.4,12,33.8,0.011,152,224,22.1,107,0.66,8,< 30,< 0.5,1.7,-,-,< 1,0.058,0.08,0.8,0.14,0.081,20.3,2.1
13.3,Poissons et batraciens cuits,26017,"Limande-sole, cuite � la vapeur",380,90.1,380,90.1,76.9,17.4,17.4,traces,2.27,0,-,0,0,1.47,0,0,0.13,0.21,0.32,-,-,-,-,0.00047,0.019,0.072,0.041,0.091,0.005,0.0019,0.029,0.16,0.077,73,0.3,21,120,0.01,0.6,45.5,20,0,250,280,73,120,0.5,0,0,0,0.3,-,-,0,0.1,0.1,3.8,0.29,0.28,13,1
13.3,Poissons et batraciens cuits,26019,"Maquereau, r�ti/cuit au four",949,228,949,228,61.5,21.5,21.5,traces,15.8,0,-,0,0,1.08,0,0,5.02,5.45,4.15,-,-,-,-,0.011,0.63,2.13,0.62,2.62,0.2,0.23,0.13,0.8,1.34,81.8,0.21,12.8,1.5,< 0.1,1.57,45.8,28.5,< 0.1,207,401,51.6,83,0.94,62,traces,7.72,0.71,-,-,0.4,0.16,0.41,6.85,0.37,0.62,22.6,19
13.3,Poissons et batraciens cuits,26020,"Maquereau, frit",777,186,777,186,64.6,23.6,23.6,traces,10.2,0,-,0,0,1.48,0,0,2.96,3.74,2.28,-,-,-,-,0.0091,0.43,1.9,0.46,2.12,0.13,0.082,-,0.57,1.38,-,0.21,-,-,0.16,-,107,-,0.06,273,323,94.7,83.3,1,-,0,12.3,-,-,-,-,-,0.29,10.5,0.49,0.58,-,12
13.3,Poissons et batraciens cuits,26021,"Merlan, frit",526,125,526,125,71.4,23.1,23.1,traces,3.61,0,-,0,0,1.35,0,0,0.94,1.67,0.75,0.014,0.021,0.01,0.021,0.048,0.0095,0.51,0.055,1.6,0.41,0.034,0.017,0.05,0.17,70.1,0.43,26.5,0.2,0.024,0.5,213,34.1,0.014,165,402,25.2,171,0.47,-,0,-,1.25,-,-,-,0.047,0.087,2.58,0.39,0.26,28.9,1.89
13.3,Poissons et batraciens cuits,26022,"Merlan, cuit � la vapeur",417,98.3,417,98.3,75.2,23,23,traces,0.7,0,-,0,0,1.04,0,0,0.17,0.3,0.2,-,-,-,-,0,0.0032,0.11,0.035,0.063,0.0036,0.00072,0.01,0.038,0.15,55,0.28,21,140,0.01,0.1,70,28,0.01,190,400,25,110,0.4,0,traces,0,0.44,-,-,0,0.05,0.31,1.8,0.24,0.18,0,0
13.3,Poissons et batraciens cuits,26023,"Cabillaud, r�ti/cuit au four",401,94.6,401,94.6,76,22.3,22.3,traces,0.6,0,-,0,0,1.05,0,0,0.12,0.093,0.2,0,0,0,0,0,0.0059,0.098,0.02,0.087,0.0083,0.0012,0.0085,0.041,0.14,55,0.23,18.4,520,0.017,0.49,130,29.4,0.016,138,244,22.4,90.5,0.5,14,0,1.2,0.81,0.1,-,1,0.088,0.079,2.51,0.18,0.28,8,1.05
13.3,Poissons et batraciens cuits,26024,"Morue, sal�e, bouillie/cuite � l'eau",480,113,480,113,67.4,26,26,traces,1.01,0,-,0,0,6.03,0,0,0.13,0.061,0.22,-,-,-,-,-,0.0056,0.092,0.034,0.061,0.0038,0.00095,0.016,0.051,0.15,-,5.8,64.9,5,0.089,0.35,74,13.7,0.019,42,110,20.7,2320,0.84,< 2,traces,1.25,0.55,-,-,-,< 0.04,0.052,0.47,< 0.16,0.075,23.5,2.2
13.3,Poissons et batraciens cuits,26025,"Cabillaud, cuit � la vapeur",451,106,451,106,73.4,24.5,24.5,traces,0.95,0,-,0,0,0.97,0,0,0.14,0.07,0.3,-,-,-,-,0,0.0041,0.11,0.032,0.06,0.0092,0.0017,0.017,0.1,0.16,43,0.16,10,120,0.02,0.1,110,21,0.01,240,360,29.1,65,0.5,2,traces,0,0.48,0,-,0,0.01,0.03,0.8,0.23,0.19,13,2
13.3,Poissons et batraciens cuits,26026,"Mulet, r�ti/cuit au four",602,143,602,143,70.5,24.8,24.8,traces,4.86,0,-,0,0,1.34,0,0,1.43,1.38,0.92,-,-,-,-,-,0.062,0.29,0.096,-,-,-,-,0.35,0.16,63,0.18,31,-,0.11,1.41,190,33,0.051,244,458,-,71,1.21,42,0,0,0,-,-,1.2,0.08,0.13,5.05,0.88,0.49,10,0.25
13.3,Poissons et batraciens cuits,26031,"Raie, r�tie/cuite au four",409,96.3,409,96.3,75.9,23,23,traces,0.5,0,-,0,0,1,0,0,0.088,0.088,0.18,-,-,-,-,-,-,-,-,-,-,-,-,0.011,0.11,0,0.38,50,260,0.03,0.6,20,37,0,220,320,-,150,0.6,0,0,0,0,-,-,traces,0.15,0.25,2.5,0,0.46,0,8
13.3,Poissons et batraciens cuits,26033,"Roussette ou petite roussette ou saumonette, cuite",1070,256,1070,256,-,25.4,25.4,traces,17.2,0,0,0,0,1.01,0,0,4.11,6.98,4.36,-,-,-,-,-,0.037,2.94,0.024,2.2,0.21,0.029,0.011,0.36,1.51,60.1,0.2,-,-,< 0.1,-,24.8,-,< 0.1,-,-,42,-,0.67,5,0,< 0.5,-,-,-,-,-,-,-,0.24,0.36,3,-
13.3,Poissons et batraciens cuits,26038,"Saumon, cuit � la vapeur",826,198,826,198,63.5,23.6,23.6,traces,11.5,0,-,0,0,1.1,0,0,3.14,4.23,2.97,-,-,-,-,0.0074,0.45,1.28,0.3,2.2,0.68,0.29,0.052,0.64,1.11,36.3,0.13,9.23,63,0.026,0.4,30,21.4,0.007,270,390,19,51.5,0.39,5,0,8.7,2.05,-,-,0,0.21,0.08,7,1.3,0.17,6.4,2.1
13.3,Poissons et batraciens cuits,26041,"Thon, r�ti/cuit au four",576,136,576,136,66.9,29.9,29.9,traces,1.83,0,-,0,0,1.32,0,0,0.9,0.23,0.52,-,-,-,-,-,0.1,0.71,0.086,0.23,0.037,0.006,0.015,0.099,0.36,43.5,0.14,22.2,0.1,0.047,1.63,150,49.7,0.0076,273,462,78.2,56,0.43,8,0,1.83,0.32,-,-,-,0.052,0.062,16.4,0.13,0.47,40.6,2.57
13.3,Poissons et batraciens cuits,26059,"Sole, cuite � la vapeur",400,94.6,400,94.6,77,20.3,20.3,traces,1.48,0,-,0,0,1.09,0,0,0.2,0.2,0.2,-,-,-,-,0,0,0,0,0,0,0,0,0.043,0.16,70.8,0.41,96,-,0.026,0.72,14.5,23.1,0.007,128,175,103,166,0.39,-,0,-,-,-,-,-,0.064,0.2,2.39,-,0.22,-,1.12
13.3,Poissons et batraciens cuits,26060,"Sole, r�tie/cuite au four",353,83.8,353,83.8,82.1,15.6,15.6,traces,2.37,0,0,0,0,1.49,0,0,0.36,0.43,0.36,0,0,0,0.0027,0.0054,0.072,0.23,0.044,0.43,-,-,-,0.094,0.11,56,0.29,47.7,-,0.027,0.23,30,31.3,0.035,309,197,17.4,117,0.58,12,0,3.5,0.77,0.1,-,0,0.026,0.025,1.28,0.23,0.12,6,1.31
13.3,Poissons et batraciens cuits,26061,"Sole, bouillie/cuite � l'eau",292,69,292,69,84,15,15,traces,1,0,-,0,0,0.65,0,0,0.2,0.6,0.2,-,-,-,-,-,-,-,-,0.6,-,-,-,-,-,65,0.21,90,-,-,0.9,-,22,-,195,137,-,82,-,-,-,-,-,-,-,-,0.07,0.2,1.7,-,1,-,-
13.3,Poissons et batraciens cuits,26062,"Sole, frite",306,72.2,306,72.2,83,15.8,15.8,traces,1,0,-,0,0,0.88,0,0,0.2,0.6,0.2,-,-,-,-,-,-,-,-,0.6,-,-,-,-,-,65,0.36,-,-,-,0.86,-,28,-,250,240,42.3,144,-,-,-,-,-,-,-,-,0.07,0.18,1.53,-,-,-,-
13.3,Poissons et batraciens cuits,26073,"Raie, cuite au court-bouillon",415,97.8,415,97.8,73.7,23.2,23.2,traces,0.57,0,-,0,0,2.38,0,0,0.12,0.048,0.16,-,-,-,-,-,0.0012,0.085,0.027,0.048,0.0042,0.0006,0.014,0.016,0.13,67,0.4,-,-,0.03,-,8.9,24.3,0,163,-,-,161,0.6,0,0,0,0,-,-,-,< 0.04,-,-,0,0.23,0,2.7
13.3,Poissons et batraciens cuits,26081,"Lotte ou baudroie, grill�e/po�l�e",417,98.2,417,98.2,75,23,23,traces,0.68,0,-,0,0,1.2,0,0,0.27,0.1,0.2,-,-,-,-,-,0.0084,0.17,0.04,0.1,0.0083,0.0013,0.012,0.039,0.14,32,0.058,10,0.4,0.3,0.41,40.6,27,< 0.1,256,513,42.5,23,0.64,50,0,traces,0.6,-,-,1,0.029,0.073,3.09,0.19,0.21,20.5,0.93
13.3,Poissons et batraciens cuits,26093,"Espadon, r�ti/cuit au four",1110,266,1110,266,52.9,28.7,28.7,traces,16.9,0,0,0,0,1.52,0,0,1.67,8.22,2.67,0,0,0,0,0.0074,0.16,1.12,0.38,0,0,0,0,0.2,1.31,129,0.18,6,170,0.046,0.45,9.3,34.1,0.013,200,499,122,73.4,0.78,43,0,16.6,7.2,0.1,-,0,0.047,0.063,9.8,0.42,0.62,2,2.91
13.3,Poissons et batraciens cuits,26094,"Turbot, r�ti/cuit au four",490,116,490,116,72.7,20.6,20.6,traces,3.78,0,0,0,0,2.69,0,0,0.9,0.8,0.7,-,-,-,-,-,-,-,-,-,-,-,-,0.32,0.38,62,0.48,23,180,0.047,0.46,30,65,0.022,165,305,-,192,0.28,12,0,0,0,-,-,1.7,0.076,0.097,2.68,0.66,0.24,9,2.54
13.3,Poissons et batraciens cuits,26120,"Merlu, cuit � l'�touff�e",472,112,472,112,74.4,21.2,21.2,traces,3,0,0,0,0,1.08,0,0,0.92,-,0.59,-,-,-,-,-,-,-,0.057,-,-,-,-,0.11,0.28,77.4,0.25,41.8,0.2,< 0.1,0.3,42,29.2,< 0.1,190,290,22,99.2,0.55,7.5,0,3.2,0.6,-,-,0,0.052,0.086,2.65,0.24,0.23,26.4,1.6
13.3,Poissons et batraciens cuits,26126,"�glefin, grill�/po�l�",360,84.9,360,84.9,79.7,20,20,traces,0.55,0,-,0,0,1.56,0,0,0.11,0.074,0.2,0,0,0,0,0.002,0.005,0.077,0.025,-,-,-,-,0.051,0.11,66,0.65,14,-,0.026,0.21,-,26,0.013,278,351,-,261,0.4,21,0,0.6,0.55,0.1,-,0,0.023,0.069,4.12,0.49,0.33,13,2.13
13.3,Poissons et batraciens cuits,26136,"Sardine, grill�e",1030,246,1030,246,64,24.7,24.7,traces,16.4,0,0,0,0,1,0,0,3.62,4.05,5.03,-,-,-,-,0,0.081,2.97,0.57,-,0.19,0.77,-,1.68,2.4,0,0.35,130,170,0.14,1.7,32,34,0.08,320,400,38,140,1.4,0,0,12.3,0.31,-,-,traces,traces,0.25,6.9,0.88,0.41,4,12
13.3,Poissons et batraciens cuits,26147,"Vivaneau, cuit",511,121,511,121,71.7,26.3,26.3,traces,1.72,0,-,0,0,1.41,0,0,0.37,0.32,0.59,-,-,-,-,-,0.053,0.19,0.07,-,-,-,-,0.048,0.27,47,0.14,40,-,0.046,0.82,-,37,0.017,201,522,-,57,0.44,35,-,-,-,-,-,1.6,0.053,0.004,0.35,0.87,0.46,6,3.5
13.3,Poissons et batraciens cuits,26148,"Rascasse, cuite � la vapeur",533,126,533,126,71.7,24.6,24.6,traces,3.1,0,-,0,0,1.14,0,0,0.61,0.83,0.73,< 0.0011,< 0.0011,< 0.0011,< 0.0011,0.0022,0.13,0.39,0.069,0.34,0.048,0.022,0.024,0.21,0.37,48.9,0.22,14,115,0.02,0.18,< 20,33,0.01,200,380,80,88.8,0.37,< 21,-,-,-,< 0.8,-,-,0.025,0.04,1.32,0.084,0.14,< 5,1.65
13.3,Poissons et batraciens cuits,26211,"Saumon, cuit au micro-ondes, �levage",834,200,834,200,63,24.2,24.2,traces,11.4,0,-,0,0,1.33,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.098,5,-,< 0.1,0.4,300,31.6,< 0.1,250,402,< 5,39,0.4,15,-,-,2.4,-,-,-,0.21,0.054,7.6,1.45,0.71,19,-
13.3,Poissons et batraciens cuits,26217,"Saumon, bouilli/cuit � l'eau, �levage",805,193,805,193,63.4,25,25,traces,10.3,0,-,0,0,1.22,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.084,4.6,-,< 0.1,0.3,200,29.7,< 0.1,150,347,< 5,33.6,0.4,14,-,-,2.63,-,-,-,0.25,0.056,6.25,1.5,0.58,28,-
13.3,Poissons et batraciens cuits,26222,"Dorade grise, ou daurade grise, ou griset, r�tie/cuite au four",512,121,512,121,71,22.9,22.9,traces,3.3,0,-,0,0,1.33,0,0,0.75,0.78,0.78,< 0.0012,< 0.0012,< 0.0012,< 0.0012,0.0046,0.13,0.43,0.13,0.28,0.028,0.0092,0.074,0.45,0.17,67,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13.3,Poissons et batraciens cuits,26229,"Saumon, grill�/po�l�",933,223,933,223,60.1,25.5,25.5,traces,13.5,0,-,0,0,1.32,0,0,2.87,6.18,4.16,0,0,0,0,0,0.67,1.75,0.35,1.79,-,-,-,0.78,1.5,71.8,0.11,8.4,86.2,0.05,0.43,56.8,31.7,0.05,263,414,11,44.2,0.48,17.5,-,-,3.52,-,-,-,0.23,0.086,8.15,1.7,0.34,18,3.4
13.3,Poissons et batraciens cuits,26230,"Saumon, �levage, r�ti/cuit au four",874,210,874,210,62.2,22.1,22.1,traces,13.5,0,-,0,0,1.23,0,0,2.5,4.43,4.43,-,-,-,-,-,0.57,1.49,0.32,-,-,-,-,0.69,1.46,63,0.15,15,-,0.049,0.34,-,30,0.016,252,384,-,61,0.43,-,-,-,-,-,-,3.7,0.3,0.11,8.05,1.49,0.39,21.1,2.65
13.3,Poissons et batraciens cuits,26234,"Julienne ou Lingue, cuite",447,105,447,105,73.9,24.5,24.5,traces,0.82,0,-,0,0,1.21,0,0,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,< 0.00018,64.9,0.21,13,117,0.02,0.14,49,31,< 0.01,180,330,60,84.3,0.62,< 21,-,-,-,< 0.8,-,0,0.024,0.01,2.26,0.22,0.22,19.5,0.78
13.3,Poissons et batraciens cuits,26247,"Fl�tan du Gro�nland ou fl�tan noir ou fl�tan commun, cuit � la vapeur",722,173,722,173,68.8,17.3,17.3,traces,11.6,0,-,0,0,1.07,0,0,2.07,7.38,0.98,< 0.0052,< 0.0052,< 0.0052,< 0.0052,0.01,0.49,1.27,0.21,1.81,0.1,0.031,0.021,0.34,0.34,68.1,0.36,8.6,133,0.02,0.07,< 20,21,< 0.01,160,240,60,143,0.36,< 21,-,-,-,< 0.8,-,-,0.03,0.02,0.66,0.16,0.041,< 5,0.69
13.3,Poissons et batraciens cuits,27000,"Anguille, r�tie/cuite au four",955,229,955,229,59.3,23.6,23.6,traces,15,0,-,0,0,1.8,0,0,3.02,9.22,1.21,0,0,0,0,0,0.74,2.03,0.25,-,-,-,-,0.17,0.28,161,0.16,26,-,0.029,0.64,8,26,0.04,277,349,-,65,2.08,1140,0,-,-,-,-,1.8,0.18,0.051,4.49,0.28,0.077,17,2.89
13.3,Poissons et batraciens cuits,27001,"Anguille, bouillie/cuite � l'eau",820,197,820,197,62,20.5,20.5,traces,12.7,0,-,0,0,-,0,0,3.28,6.38,1.8,-,-,-,-,-,-,-,-,-,-,-,-,0.24,0.47,-,-,-,-,0.029,-,8,-,0.04,-,-,28,-,2.08,-,0,-,5.1,-,-,-,-,-,-,-,-,-,-
13.3,Poissons et batraciens cuits,27002,"Brochet, r�ti/cuit au four",425,100,425,100,74.7,23.1,23.1,traces,0.88,0,-,0,0,1.54,0,0,0.15,0.21,0.27,-,-,-,-,0.001,0.023,0.1,0.023,-,-,-,-,0.088,0.18,50,0.12,73,-,0.058,0.71,12,40,0.28,282,331,-,49,0.77,24,0,2.7,-,-,-,3.8,0.067,0.077,2.8,0.81,0.14,16,2.15
13.3,Poissons et batraciens cuits,27004,"Carpe, r�tie/cuite au four",633,151,633,151,69.6,21.6,21.6,traces,7.17,0,-,0,0,1.87,0,0,1.27,2.74,1.69,-,-,-,-,-,0.15,0.84,0.24,-,-,-,-,0.19,0.1,84,0.16,52,-,0.12,1.59,6,38,0.23,531,427,20.2,63,1.58,10,0,3.25,-,-,-,1.6,0.14,0.07,2.1,0.87,0.22,17,1.47
13.3,Poissons et batraciens cuits,27005,"Perche, r�tie/cuite au four",503,119,503,119,73.7,22.1,22.1,traces,3.42,0,-,0,0,0.97,0,0,0.85,0.2,0.26,-,-,-,-,0.0024,0.073,0.51,0.19,0.2,0.023,0.021,0.039,0.036,0.14,82.4,0.096,73,-,0.058,0.71,< 5,26,0.28,105,331,26,38.3,0.77,24,0,9,1.32,-,-,3.8,0.09,0.077,2.98,0.81,0.13,16,0.83
13.3,Poissons et batraciens cuits,27006,"Truite, r�tie/cuite au four",766,183,766,183,63.4,26.6,26.6,traces,8.47,0,-,0,0,1.5,0,0,1.47,4.17,1.92,-,-,-,-,-,0.24,1.05,0.19,-,-,-,-,0.28,0.66,74,0.17,55,-,0.14,1.92,6,28,0.56,314,463,3,67,0.71,19,0,-,-,-,-,0.5,0.43,0.42,5.77,2.24,0.23,15,7.49
13.3,Poissons et batraciens cuits,27007,"Truite, cuite � la vapeur",419,99.4,419,99.4,75,19,19,traces,2.6,0,-,0,0,-,0,0,0.54,0.74,1.06,-,-,-,-,-,-,-,-,-,-,-,-,0.29,0.64,-,-,-,-,0.03,-,6,-,0.027,-,-,3,-,0.56,-,0,-,-,-,-,-,-,-,-,-,-,-,-
13.3,Poissons et batraciens cuits,27014,"Truite arc en ciel, �levage, r�tie/cuite au four",617,147,617,147,68.7,21.5,21.5,traces,6.8,0,-,0,0,1.43,0,0,1.71,2.23,2.06,0,0,0,0,0.0058,0.22,1.02,0.1,1.91,0.79,0.2,0.021,0.3,0.65,56.9,0.13,60.5,65,0.03,0.33,4,28.3,0.027,270,381,2.85,53.3,0.59,9.5,0,19,2.79,0.1,-,2.9,0.14,0.11,6.65,1.99,0.39,12,4.11
13.3,Poissons et batraciens cuits,27015,"Truite arc en ciel, �levage, cuite � la vapeur",493,117,493,117,75,20,20,traces,4.14,0,-,0,0,-,0,0,0.86,1.4,1.46,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0.68,-,-,-,-,0.03,-,8,-,0.027,-,-,3,-,0.56,-,0,-,-,-,-,-,-,-,-,-,-,-,-
13.3,Poissons et batraciens cuits,27030,"Bar commun ou loup, r�ti/cuit au four",590,141,590,141,69.7,20.8,20.8,traces,6.4,0,-,0,0,1.37,0,0,1.27,2.36,2.14,< 0.0029,< 0.0029,< 0.0029,< 0.0029,< 0.0029,0.17,0.85,0.18,1.72,0.84,0.22,0.04,0.31,0.52,48.2,0.2,11,119,0.05,0.28,< 20,30,0.01,220,410,< 50,80.8,0.42,< 21,-,-,0.97,< 0.8,-,-,0.097,0.08,3.49,0.53,0.26,12.6,3.27
13.4,Poissons et crustac�s pan�s ou en beignets,10002,"Calmar ou Calamar ou encornet, � la romaine (beignet)",1050,252,1050,252,51.5,8.69,8.69,21.2,14.4,2.58,18.6,1.66,0,2.6,0,0,1.77,3.45,4.66,-,-,-,-,0.011,0.022,0.92,0.47,3.45,4.04,0.036,-,0.048,0.089,90,2.13,32.1,845,< 0.1,< 1,328,20.4,0.11,236,88.8,< 3,852,< 1,< 2,< 50,< 0.2,1.8,-,-,0,< 0.05,1.1,0.56,0.3,< 0.05,11.5,1.2
13.4,Poissons et crustac�s pan�s ou en beignets,10012,"Langoustine, pan�e, frite",1210,288,1210,288,39.5,12.5,12.5,29,13.6,traces,29,traces,0,2.12,0,0,1.5,4.1,7.3,-,-,-,-,-,-,-,-,-,-,-,-,0.24,0.06,110,1.65,-,610,0.16,1.7,41,24,0.35,310,130,17,660,0.6,0,0,0,0,-,-,0,0.11,0.04,1.2,0.26,0.09,0,1
13.4,Poissons et crustac�s pan�s ou en beignets,10023,Beignet de crevette,930,222,930,222,54.2,6.5,6.5,26,10,11,-,1,0,2.38,0,0,0.5,7.09,0.79,-,-,-,-,-,-,-,-,-,-,-,-,0.06,0.051,-,1.9,77,1000,-,1,22,18.1,-,-,102,41.7,770,0.5,traces,-,-,-,-,-,-,-,-,-,-,-,-,-
13.4,Poissons et crustac�s pan�s ou en beignets,25433,Accra de poisson,1140,275,1140,275,49.5,12.4,12.4,15.1,17.6,2.55,12.6,3,0,2.3,0,0,2.3,9.46,4.75,< 0.011,< 0.011,< 0.011,< 0.011,< 0.011,0.092,1.17,0.51,9.34,4.43,0.069,0.014,0.016,0.033,68.8,1.24,55.3,743,< 0.1,1.1,20,18,0.3,110,216,18,583,0.8,7.5,-,< 0.5,4.84,-,-,0.5,0.064,0.1,1.1,0.35,0.19,33,0.43
13.4,Poissons et crustac�s pan�s ou en beignets,26002,"Carrelet ou plie, pan�, frit",1010,242,1010,242,58.5,13.4,13.4,8.86,16.8,0,-,1,0,1.4,0,0,2,3.4,10.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,0.66,27,240,0.052,0.54,22,22.4,0.29,132,234,20,264,0.73,0,-,0,0,0,-,0,0.18,0.06,0.8,0.82,0.12,27,0
13.4,Poissons et crustac�s pan�s ou en beignets,26016,"Limande-sole, pan�e, frite",863,206,863,206,60.5,16.7,16.7,11.9,10.2,1,-,0,0,0.69,0,0,1.3,3.8,4.63,-,-,-,-,-,-,-,-,-,-,-,-,0.059,0.11,-,0.69,-,-,0.01,-,25,-,traces,-,-,73,270,0.5,-,0,-,0.1,-,-,-,0.1,0.1,3.8,0.29,0.14,13,1
13.4,Poissons et crustac�s pan�s ou en beignets,26028,"Poisson, croquette ou beignet ou nuggets, frit",1060,255,1060,255,50.5,13.2,13.2,18.4,13.7,1.6,15.2,2.5,0,1.71,0,0,1.69,4.6,5.19,-,-,-,-,0.013,0.027,1.13,0.45,4.6,4.63,0.067,-,0.11,0.19,49,1.04,31.1,0.8,0.045,0.7,48.7,22.3,0.12,130,259,2.13,418,0.41,2,0,traces,0,-,-,traces,0.11,0.07,1.24,0.32,0.15,32.2,1.54
